자치구명,건물면적,토지면적,층,건축년도,경도,위도,읍면동명,월평균소득,동별세대수,동별세대당인구,20세미만인구,20세이상인구,주택가격(만원)
강북구,59.83,27.0,4.0,2000.0,127.01246335648987,37.62695722234602,수유1동,2220463.0,10493,1.86,7930,90942,12000
강북구,46.63,44.0,2.0,1993.0,127.00925387217812,37.637704708192175,수유1동,2220463.0,10493,1.86,7930,90942,11800
중랑구,29.99,17.0,3.0,2015.0,127.07506131982034,37.61573116447223,묵제1동,3120718.0,14942,2.23,5371,45104,24500
동작구,43.37,31.0,3.0,2014.0,126.94653900307424,37.49666288846281,상도제1동,3875896.0,23035,1.92,11510,101057,38000
구로구,54.52,38.0,3.0,1997.0,126.83059760735452,37.49946869064482,수궁동,2682295.0,9993,2.23,1523,12096,23000
성북구,106.63,45.0,4.0,2003.0,127.00964284913547,37.59079363622988,성북동,3470748.0,8086,1.95,304,2608,64000
도봉구,41.77,26.0,6.0,2021.0,127.03910026792714,37.66862052952479,방학제1동,2895702.0,12948,2.11,7510,62514,35000
서대문구,68.29,37.0,3.0,2005.0,126.92852542411464,37.57477113860605,연희동,3383749.0,18678,1.8,2783,30452,35700
성북구,26.44,13.0,8.0,2018.0,127.0356499345678,37.59805124957848,종암동,3381883.0,16945,2.18,4536,31806,25900
양천구,35.88,17.0,2.0,1991.0,126.87003224663644,37.545319951835125,목1동,5667672.0,10323,2.91,24023,117070,18000
중랑구,26.69,13.0,4.0,2016.0,127.08252375251824,37.59499646065531,상봉제1동,2969913.0,10067,2.26,3765,39299,23800
강서구,42.18,28.0,4.0,1991.0,126.8529150782926,37.54126956672992,화곡제1동,2485455.0,27977,1.78,20096,189853,11500
강서구,33.22,19.0,3.0,2012.0,126.83342720254493,37.552732553901215,발산제1동,3192517.0,13569,2.58,7469,35929,23000
강서구,58.88,25.0,-1.0,1994.0,126.81241600822489,37.5570943003256,공항동,2896818.0,13889,2.11,1271,15786,12500
중랑구,65.305,36.0,3.0,2008.0,127.08021733092404,37.609664960291525,묵제1동,3120718.0,14942,2.23,5371,45104,31600
구로구,29.64,19.0,5.0,2022.0,126.8853833138716,37.4912773945354,구로제1동,3368067.0,8393,2.42,9818,101018,28200
구로구,62.15,63.0,1.0,1979.0,126.8795973444604,37.509985018567406,신도림동,4380318.0,14382,2.5,5564,29482,59800
강북구,74.67,41.0,2.0,2007.0,127.0140393425419,37.63506599141991,수유1동,2220463.0,10493,1.86,7930,90942,21000
송파구,58.38,55.0,2.0,1990.0,127.11876087677808,37.53589688258182,풍납1동,3011150.0,5352,2.09,3754,29883,37000
금천구,60.24,26.0,1.0,2002.0,126.90263511885196,37.45818010837772,시흥제1동,2757307.0,16384,1.93,9319,87362,31800
동대문구,34.05,21.0,2.0,2023.0,127.02701513928793,37.57791300019799,용신동,2894254.0,21978,1.76,128,3647,55500
양천구,79.56,46.0,3.0,2010.0,126.86473091529618,37.5410767804384,목1동,5667672.0,10323,2.91,24023,117070,38300
강동구,66.99,32.0,2.0,2003.0,127.13612750446704,37.551555241675565,암사제1동,2852157.0,15928,2.08,7845,55492,39000
관악구,36.33,20.0,3.0,1993.0,126.92181315282212,37.47572786875911,서원동,2412001.0,15455,1.49,15528,223346,19000
중랑구,39.6,20.0,7.0,2016.0,127.07756424303112,37.60693334613782,묵제1동,3120718.0,14942,2.23,5371,45104,30000
종로구,36.63,25.0,2.0,2021.0,127.02006324211165,37.57767928710916,숭인제1동,2868519.0,3004,1.91,861,14891,30000
강동구,28.13,16.0,4.0,2017.0,127.12566649704551,37.53560872192181,성내제1동,3438376.0,8188,2.33,5877,57744,30000
강서구,39.46,26.0,2.0,2016.0,126.8119076940526,37.56292173589914,공항동,2896818.0,13889,2.11,1271,15786,23100
강서구,33.99,26.0,3.0,2018.0,126.81332374513784,37.5677596790642,공항동,2896818.0,13889,2.11,5459,54460,26000
마포구,28.46,15.0,-1.0,1986.0,126.90714508446888,37.56746071215968,성산제1동,2814646.0,9628,1.93,4258,42729,11000
성북구,43.04,29.0,3.0,2015.0,127.04328798496486,37.60517316844573,월곡제2동,3138026.0,9567,1.94,814,8002,23400
중랑구,55.61,36.0,2.0,2017.0,127.08950266660553,37.60029848027681,상봉제1동,2969913.0,10067,2.26,3765,39299,37500
금천구,24.97,15.0,4.0,2021.0,126.90622265312004,37.4542485652844,시흥제1동,2757307.0,16384,1.93,9319,87362,18396
노원구,38.55,17.0,-1.0,1996.0,127.07482546276364,37.62511954433187,공릉1동,2786137.0,18792,1.89,9238,66332,13200
마포구,15.9,11.0,5.0,2014.0,126.9101826912395,37.5510724775968,합정동,3195027.0,9103,1.75,1100,14725,13600
영등포구,14.79,8.0,3.0,2011.0,126.88979015840094,37.54025791677967,양평제2동,3672088.0,11356,2.0,355,3865,9850
송파구,49.77,24.0,3.0,2003.0,127.09391531404992,37.5005310896262,삼전동,2779980.0,16157,1.77,2362,25989,48000
동대문구,28.15,17.0,3.0,2019.0,127.0617131722048,37.56307775638835,장안제1동,2863708.0,18312,2.02,8215,60301,26900
중구,53.0,33.0,4.0,1994.0,127.01280846054986,37.55555052698704,신당동,2816850.0,4672,1.57,5443,59448,26550
동작구,56.5,65.0,2.0,1983.0,126.95830856923216,37.50983110245287,흑석동,4224946.0,12980,2.32,3683,25661,41500
중랑구,26.96,19.0,3.0,2019.0,127.07714614405592,37.60036374226612,중화제1동,2518956.0,8828,2.06,3154,38114,35000
마포구,41.91,27.0,1.0,1991.0,126.90621988404398,37.55145323442523,합정동,3195027.0,9103,1.75,1100,14725,33000
마포구,55.97,35.0,2.0,2022.0,126.93777756092956,37.54576114867533,대흥동,3421062.0,8658,1.65,1809,13373,56000
금천구,47.07,27.0,2.0,2014.0,126.90538916847518,37.44277440339979,시흥제1동,2757307.0,16384,1.93,9319,87362,19000
강서구,29.99,18.0,4.0,2015.0,126.8663336233888,37.5513154154067,염창동,4127504.0,16656,2.47,6552,33507,29000
은평구,57.76,26.0,4.0,2011.0,126.92291031144256,37.60323793126412,녹번동,3055864.0,17454,2.03,3344,31517,31000
강북구,58.6,33.0,4.0,2009.0,127.01516865118404,37.62638825424306,삼양동,2473211.0,11616,2.09,13101,111124,20000
양천구,48.32,25.0,-1.0,1991.0,126.8387553827957,37.51597817689475,신월1동,2227154.0,9857,1.91,12633,101640,9000
은평구,44.59,25.0,3.0,2011.0,126.91388258256195,37.612058541562575,구산동,2602334.0,13488,2.29,3173,27409,27700
동대문구,23.93,17.0,5.0,2025.0,127.04231825661309,37.57672999570615,용신동,2894254.0,21978,1.76,2981,31339,53000
광진구,60.56,25.0,4.0,2002.0,127.08128717444872,37.53027384485742,자양제1동,2745988.0,12126,1.79,9064,81478,45000
은평구,28.13,21.0,-1.0,1986.0,126.92036217760956,37.58839659339746,응암제1동,2726133.0,15072,2.13,9854,70904,6000
강북구,73.78,43.0,5.0,2006.0,127.01310330646086,37.62709140065626,수유1동,2220463.0,10493,1.86,7930,90942,30000
강북구,50.39,22.0,2.0,2000.0,127.0207499794422,37.63550238161959,수유1동,2220463.0,10493,1.86,7930,90942,22300
강동구,44.3,220.0,3.0,2023.0,127.17014663358654,37.55940686637576,고덕제1동,4618641.0,8141,2.91,9891,37521,59000
양천구,29.97,19.0,3.0,2012.0,126.86912277896032,37.54620408036454,목1동,5667672.0,10323,2.91,24023,117070,22600
강서구,51.3,23.0,2.0,2002.0,126.8383400482723,37.5522299398609,발산제1동,3192517.0,13569,2.58,7469,35929,19000
금천구,62.78,35.0,4.0,2005.0,126.90225225470594,37.45764959482131,시흥제1동,2757307.0,16384,1.93,9319,87362,32000
마포구,28.0,18.0,6.0,2017.0,126.90901086485636,37.55479333439399,망원제1동,2802536.0,10082,1.85,3239,32518,35000
양천구,80.62,39.0,2.0,1993.0,126.84581606303418,37.525630570531625,신월1동,2227154.0,9857,1.91,12633,101640,36000
강동구,43.3,26.0,4.0,2017.0,127.14296625780632,37.54012875312241,길동,2840603.0,23606,2.02,4315,42680,41000
구로구,38.63,21.0,4.0,2019.0,126.85677022594273,37.488956839265285,개봉제1동,2805757.0,15247,2.18,8142,71996,30300
양천구,26.88,15.0,2.0,2017.0,126.85390113910265,37.525028263512944,신정1동,5046256.0,6922,2.83,25771,140883,31000
은평구,33.24,28.0,2.0,1986.0,126.92096236191236,37.59211735676445,응암제1동,2726133.0,15072,2.13,9854,70904,14500
은평구,26.85,23.0,2.0,2018.0,126.92670086232134,37.62249679617974,불광제1동,3182963.0,18150,2.06,5303,57959,25500
강동구,26.54,19.0,2.0,2014.0,127.13697780689166,37.55409937406322,암사제1동,2852157.0,15928,2.08,7845,55492,26000
서초구,29.79,23.0,3.0,2018.0,126.99419832278546,37.4762245307023,서초3동,4678950.0,15451,2.07,13249,78765,29900
성북구,43.58,26.0,5.0,2020.0,127.01387362448854,37.58876583629669,삼선동,3057377.0,11478,1.91,268,3331,44400
중랑구,47.81,22.0,4.0,2018.0,127.0735661764832,37.5902265766772,면목제2동,2322173.0,12138,1.91,10715,119617,37000
강북구,59.52,35.0,2.0,2011.0,127.02376161204248,37.62498078745962,삼양동,2473211.0,11616,2.09,13101,111124,32300
구로구,48.78,33.0,4.0,2002.0,126.82809423534188,37.498443865473575,수궁동,2682295.0,9993,2.23,1523,12096,20700
관악구,28.87,21.0,4.0,2018.0,126.93524724698538,37.48273324799169,서원동,2412001.0,15455,1.49,15528,223346,26000
송파구,29.48,19.0,2.0,2019.0,127.0846802298632,37.5023556070653,잠실본동,3079387.0,16244,1.7,16731,86284,37500
도봉구,42.82,23.0,3.0,1991.0,127.04160834075716,37.6393588393881,창제1동,3038009.0,10939,2.16,11946,100519,9000
은평구,42.81,26.0,4.0,2016.0,126.9085349528804,37.60472423164391,역촌동,2521877.0,21160,2.11,4298,39719,30500
도봉구,42.82,23.0,3.0,1991.0,127.04160834075716,37.6393588393881,창제1동,3038009.0,10939,2.16,11946,100519,9000
동대문구,41.63,26.0,3.0,2018.0,127.07022746925291,37.58166191122278,장안제1동,2863708.0,18312,2.02,8215,60301,40000
구로구,73.68,40.0,3.0,2010.0,126.85418700672994,37.48730596285791,개봉제1동,2805757.0,15247,2.18,8142,71996,25000
관악구,50.04,42.0,1.0,1988.0,126.9333513084405,37.46600302502229,서원동,2412001.0,15455,1.49,15528,223346,22000
마포구,41.76,29.0,2.0,1986.0,126.91096272989157,37.568872167925626,성산제2동,3521472.0,19731,1.95,1368,8002,15000
강서구,59.46,39.0,2.0,1991.0,126.84941957888108,37.5355347769142,화곡제1동,2485455.0,27977,1.78,20096,189853,21500
서대문구,40.92,30.0,2.0,2013.0,126.93309608858014,37.58671369146874,홍은제1동,3093859.0,9633,2.28,5364,43858,22000
서대문구,57.54,37.0,2.0,2017.0,126.91484433076292,37.57987375739711,북가좌제1동,4005416.0,6749,2.57,5399,41436,34000
마포구,29.11,22.0,3.0,2023.0,126.90910828281048,37.55257623407749,합정동,3195027.0,9103,1.75,1100,14725,49700
은평구,29.74,22.0,3.0,2022.0,126.91553024030743,37.59254288166611,응암제1동,2726133.0,15072,2.13,9854,70904,36800
동작구,60.29,36.0,4.0,2000.0,126.93350626642616,37.49996152748452,상도제1동,3875896.0,23035,1.92,11510,101057,47900
동작구,48.57,28.0,3.0,2015.0,126.94513720661716,37.50321410813217,상도제1동,3875896.0,23035,1.92,11510,101057,59500
관악구,40.32,53.0,-1.0,1987.0,126.97681044959276,37.47543743243352,남현동,3234026.0,9923,1.76,1167,16127,16000
은평구,58.89,34.0,1.0,2013.0,126.9110899239842,37.61560681279644,갈현제1동,2481200.0,7224,1.96,3860,37070,32500
중랑구,28.25,19.0,5.0,2018.0,127.09266163599531,37.58720922818436,면목제2동,2322173.0,12138,1.91,10715,119617,42850
양천구,43.44,17.0,3.0,1995.0,126.83084362674178,37.53450941464906,신월1동,2227154.0,9857,1.91,12633,101640,19000
중랑구,30.0,20.0,3.0,2017.0,127.09146532081866,37.5830086825605,면목제2동,2322173.0,12138,1.91,10715,119617,26000
강서구,38.88,15.0,2.0,1993.0,126.85260612598596,37.5343093848014,화곡제1동,2485455.0,27977,1.78,20096,189853,8000
강동구,29.5,19.0,4.0,2019.0,127.16809957050629,37.56179821804499,고덕제1동,4618641.0,8141,2.91,9891,37521,43000
송파구,41.4,29.0,2.0,1986.0,127.08271411530164,37.50440004500996,잠실본동,3079387.0,16244,1.7,16731,86284,29500
은평구,39.02,24.0,3.0,2015.0,126.91831025294796,37.58628468900288,응암제1동,2726133.0,15072,2.13,9854,70904,32400
양천구,27.91,19.0,4.0,2013.0,126.84804121150717,37.526510853277166,신월1동,2227154.0,9857,1.91,12633,101640,20000
중랑구,39.27,24.0,3.0,2014.0,127.081848816654,37.60135464426831,중화제1동,2518956.0,8828,2.06,3154,38114,31000
강동구,34.65,18.0,6.0,2019.0,127.12772519649684,37.54493098844976,천호제1동,2473111.0,12918,1.97,6667,78755,45000
강서구,39.77,21.0,4.0,2002.0,126.8096810111814,37.57277712945776,공항동,2896818.0,13889,2.11,5459,54460,18500
금천구,76.94,46.0,2.0,2002.0,126.8909978108838,37.47280691057457,가산동,2567594.0,18490,1.35,949,23845,29500
강서구,69.84,32.0,5.0,2002.0,126.8422572969156,37.53402253278639,화곡제1동,2485455.0,27977,1.78,20096,189853,22000
동작구,17.2,8.0,9.0,2020.0,126.97333026774712,37.47648756674971,사당제1동,2855173.0,14034,1.6,8280,86257,26000
종로구,56.44,94.0,2.0,1981.0,126.95663364996696,37.60668200784345,평창동,4504006.0,7141,2.42,745,4839,30000
관악구,64.39,39.0,3.0,1997.0,126.92054350567842,37.47685257285178,서원동,2412001.0,15455,1.49,15528,223346,28000
중랑구,59.4,34.0,3.0,2002.0,127.08911559753584,37.58984190713357,면목제2동,2322173.0,12138,1.91,10715,119617,33000
관악구,48.66,38.0,-1.0,1990.0,126.96553724042616,37.47069484528509,보라매동,2529995.0,13012,1.79,17975,200181,18000
동작구,84.92,42.0,1.0,1997.0,126.94978705487038,37.50231561328443,상도제1동,3875896.0,23035,1.92,823,8889,52000
강북구,58.29,33.0,-1.0,1994.0,127.04058567795217,37.62777766763631,번1동,2303972.0,9729,1.68,3593,42720,16000
영등포구,33.05,15.0,6.0,2016.0,126.89081379367629,37.52679545303655,양평제1동,3508250.0,10061,1.81,1557,10218,35500
양천구,41.04,24.0,6.0,2022.0,126.83755419307808,37.52383691717641,신월1동,2227154.0,9857,1.91,12633,101640,41900
영등포구,73.71,46.0,3.0,2004.0,126.89802949650034,37.503842420767626,신길제5동,2656511.0,4435,2.16,3560,42101,40000
강동구,29.97,13.0,7.0,2020.0,127.1432477383346,37.54069917050736,길동,2840603.0,23606,2.02,4315,42680,33500
관악구,29.95,17.0,3.0,2018.0,126.97289063490962,37.4739033507878,남현동,3234026.0,9923,1.76,1167,16127,30000
강동구,21.92,7.0,7.0,2016.0,127.13392184521597,37.53835903024457,천호제1동,2473111.0,12918,1.97,6667,78755,18000
은평구,29.72,19.0,1.0,2012.0,126.91262110049054,37.62199838835941,갈현제1동,2481200.0,7224,1.96,3860,37070,16900
용산구,29.54,14.0,1.0,1992.0,126.95355589922424,37.53645887427665,원효로제2동,3817026.0,6286,2.15,664,4065,25500
강동구,62.32,29.0,1.0,2002.0,127.12865972304031,37.546519414302736,천호제1동,2473111.0,12918,1.97,6667,78755,38000
강북구,27.15,18.0,1.0,2005.0,127.01072184344676,37.63652965272216,수유1동,2220463.0,10493,1.86,7930,90942,9800
강동구,38.39,34.0,1.0,1986.0,127.1462885954124,37.54335294926609,길동,2840603.0,23606,2.02,4315,42680,20000
종로구,39.67,50.0,2.0,1989.0,126.9760285444098,37.60836275128653,평창동,4504006.0,7141,2.42,1399,9974,38800
서대문구,20.24,15.0,5.0,2018.0,126.94621442005288,37.56684371451676,신촌동,3331768.0,15181,1.34,149,1403,19100
동작구,49.35,25.0,3.0,1996.0,126.9369339971256,37.49700539041688,상도제1동,3875896.0,23035,1.92,11510,101057,39800
광진구,46.02,20.0,2.0,1994.0,127.08164369472988,37.52966568625288,자양제1동,2745988.0,12126,1.79,9064,81478,49500
은평구,50.94,31.0,3.0,2015.0,126.90707310598428,37.59446007080083,신사제1동,2637581.0,11982,2.17,4259,39782,35500
마포구,38.49,23.0,3.0,2017.0,126.91596901144024,37.559280566639536,성산제1동,2814646.0,9628,1.93,4258,42729,38000
강북구,65.64,46.0,3.0,2016.0,127.01194653672228,37.64390446524224,수유1동,2220463.0,10493,1.86,7930,90942,27000
은평구,29.27,20.0,5.0,2017.0,126.91335644185207,37.61766727259835,갈현제1동,2481200.0,7224,1.96,3860,37070,22800
